dataset,subset,model,prop,blackbox_tnr,blackbox_fpr,blackbox_fnr,blackbox_tpr,blackbox_prec,blackbox_rec,blackbox_f1,fidelity,robustness,surrogate_tnr,surrogate_fpr,surrogate_fnr,surrogate_tpr,surrogate_prec,surrogate_rec,surrogate_f1
cicids_improved,wednesday,VAE,0,0.9955415130770581,0.004458486922941899,0.003554157198624949,0.996445842801375,0.9963007194663716,0.996445842801375,0.9963732758495129,0.9907659486395695,0.9983283182881979,0.9763735299280323,0.023626470071967703,0.0025636543727786515,0.9974363456272214,0.9807224084099567,0.9974363456272214,0.9890087669887488
cicids_improved,wednesday,OCSVM,0,0.9499736703528173,0.050026329647182725,0.0,1.0,0.9601409750776202,1.0,0.9796652253949227,0.9789527312095015,0.9985034468484819,0.9624363700193084,0.03756362998069159,2.913243605430286e-05,0.9999708675639457,0.9697697414889108,0.9999708675639457,0.984638774544255
cicids_improved,wednesday,IForest,0,0.9500087765490609,0.04999122345093909,0.0007865757734661773,0.9992134242265338,0.9601377263947597,0.9992134242265338,0.9792859284215335,0.9900335928420181,0.9978188533855535,0.9298929261014569,0.07010707389854309,0.0,1.0,0.9450210610357074,1.0,0.971733499412589
cicids_improved,wednesday,AE,0.01,0.9946989643672108,0.005301035632789187,0.003787216687059372,0.9962127833129406,0.9956036917343581,0.9962127833129406,0.995908144394449,0.9924057887949563,0.9993790896499021,0.9804809548885378,0.01951904511146217,0.001689681291149566,0.9983103187088505,0.9840339995405467,0.9983103187088505,0.991120751988431
cicids_improved,wednesday,VAE,0.01,0.9945585395822363,0.0054414604177637355,0.0035832896346792518,0.9964167103653208,0.9954886780371384,0.9964167103653208,0.9959524780152583,0.9921828979000493,0.9998885545525465,0.9813235035983852,0.018676496401614884,0.00043698654081454294,0.9995630134591854,0.9847315099159085,0.9995630134591854,0.992091833046596
cicids_improved,wednesday,OCSVM,0.01,0.9499736703528173,0.050026329647182725,0.0,1.0,0.9601409750776202,1.0,0.9796652253949227,0.9788253649838404,0.9957650729967681,0.9625767948042829,0.03742320519571704,2.913243605430286e-05,0.9999708675639457,0.9698793478567997,0.9999708675639457,0.9846952680121062
cicids_improved,wednesday,IForest,0.01,0.9500087765490609,0.04999122345093909,0.0007865757734661773,0.9992134242265338,0.9601377263947597,0.9992134242265338,0.9792859284215335,0.9903520084061709,0.9986944961869736,0.9305950500263297,0.06940494997367035,0.0,1.0,0.9455416907693579,1.0,0.9720086649959648
cicids_improved,wednesday,AE,0.03,0.9947691767596981,0.005230823240301914,0.0039037464312765835,0.9960962535687234,0.9956611630412626,0.9960962535687234,0.9958786607832001,0.9890465045931445,0.9977233287163076,0.9754607688256978,0.024539231174302265,0.0,1.0,0.9800428265524626,1.0,0.9899208374789117
cicids_improved,wednesday,VAE,0.03,0.9947691767596981,0.005230823240301914,0.0036706869428421605,0.9963293130571579,0.9956621735712831,0.9963293130571579,0.9959956315981071,0.9920077693397653,0.9996815844358472,0.9813235035983852,0.018676496401614884,0.00043698654081454294,0.9995630134591854,0.9847315099159085,0.9995630134591854,0.992091833046596
cicids_improved,wednesday,OCSVM,0.03,0.9499736703528173,0.050026329647182725,0.0,1.0,0.9601409750776202,1.0,0.9796652253949227,0.9786820779799716,0.9991402779767875,0.9606459540108829,0.03935404598911708,2.913243605430286e-05,0.9999708675639457,0.9683744287084579,0.9999708675639457,0.983919050622026
cicids_improved,wednesday,IForest,0.03,0.9500087765490609,0.04999122345093909,0.0007865757734661773,0.9992134242265338,0.9601377263947597,0.9992134242265338,0.9792859284215335,0.9907341070831542,0.998630813074143,0.9313673863436897,0.06863261365631033,0.0,1.0,0.9461150464430418,1.0,0.9723115271856898
cicids_improved,wednesday,AE,0.05,0.99497981393716,0.005020186062840091,0.0035832896346792518,0.9964167103653208,0.9958364875094625,0.9964167103653208,0.9961265144454801,0.991625670662782,0.9997930298833007,0.9808671230472178,0.019132876952782166,2.913243605430286e-05,0.9999708675639457,0.9843705190708345,0.9999708675639457,0.992109370483843
cicids_improved,wednesday,VAE,0.05,0.9946287519747236,0.005371248025276461,0.003554157198624949,0.996445842801375,0.9955467590301831,0.996445842801375,0.9959960980155206,0.989555969495789,0.9987422585215965,0.9733895032473232,0.02661049675267685,0.0020684029598555032,0.9979315970401444,0.9783508982377974,0.9979315970401444,0.988044246383709
cicids_improved,wednesday,OCSVM,0.05,0.9499736703528173,0.050026329647182725,0.0,1.0,0.9601409750776202,1.0,0.9796652253949227,0.9772173663848689,0.9983123975099902,0.9579076707038793,0.042092329296120765,2.913243605430286e-05,0.9999708675639457,0.9662481702510979,0.9999708675639457,0.9828203292770221
cicids_improved,wednesday,IForest,0.05,0.9500087765490609,0.04999122345093909,0.0007865757734661773,0.9992134242265338,0.9601377263947597,0.9992134242265338,0.9792859284215335,0.9906226616357008,0.9990129117511264,0.9311918553624715,0.06880814463752852,0.0,1.0,0.9459846772860057,1.0,0.9722426782983062
cicids_improved,wednesday,AE,0.1,0.9945234333859926,0.005476566614007372,0.0035250247625706463,0.9964749752374293,0.9954599691510725,0.9964749752374293,0.9959672135920917,0.9927082835809015,0.9983920014010285,0.9794628751974723,0.020537124802527645,0.002680184116995863,0.9973198158830041,0.9831988282259686,0.9973198158830041,0.9902089811266179
cicids_improved,wednesday,VAE,0.1,0.994874495348429,0.005125504651571002,0.0036415545067878577,0.9963584454932122,0.995749264855737,0.9963584454932122,0.9960537620316572,0.9917848784448584,0.9994905350973555,0.978339476917676,0.02166052308232403,0.0023888597564528345,0.9976111402435471,0.9823011388084105,0.9976111402435471,0.9898969459580557
